PlayerCard1,PlayerCard2,FlopCard1,FlopCard2,FlopCard3,EquityPercent
9h.png,8d.png,4d.png,5s.png,Qd.png,7
Qc.png,9s.png,4d.png,Jd.png,Qd.png,23.13
Kd.png,7d.png,6h.png,2h.png,Ac.png,5.53
Kc.png,5c.png,7s.png,Jc.png,5h.png,22.6
8d.png,Qs.png,2h.png,8s.png,Th.png,23.77
7s.png,5c.png,Th.png,Qh.png,9s.png,1.07
3h.png,2s.png,8h.png,8s.png,Ac.png,0.9
Qs.png,Kd.png,Ad.png,9h.png,2h.png,13
Ah.png,5c.png,6h.png,4d.png,Ks.png,9.6
2h.png,6c.png,6h.png,Ah.png,Ks.png,16.9
Js.png,Jd.png,Ac.png,2c.png,4h.png,16.87
8s.png,8d.png,Kh.png,2h.png,Js.png,13.4
4s.png,Ac.png,8c.png,2d.png,2c.png,14.1
6s.png,Qh.png,7d.png,4c.png,9d.png,7
5c.png,7h.png,Jh.png,3h.png,8h.png,13.7
4c.png,8d.png,Qh.png,5h.png,Qc.png,3.77
Kd.png,4s.png,Ad.png,3h.png,6s.png,6.57
4h.png,3h.png,Kc.png,2c.png,5c.png,13.53
Js.png,Jc.png,Ks.png,4d.png,3d.png,20.9
Ac.png,Kd.png,Qc.png,7d.png,7h.png,14.77
7d.png,5s.png,9c.png,Ad.png,Js.png,1.73
3h.png,4d.png,2s.png,6h.png,9c.png,12.3
Ac.png,Tc.png,8d.png,6c.png,Td.png,31.73
7h.png,6s.png,Ac.png,5s.png,7s.png,18.17
8c.png,7s.png,4h.png,Ad.png,Jd.png,4.53
Ah.png,Tc.png,Kd.png,4h.png,Qd.png,21
3d.png,8c.png,3c.png,Ks.png,6d.png,13.27
3s.png,4c.png,7s.png,2d.png,4h.png,12.97
As.png,Ac.png,4d.png,Th.png,7c.png,45.2
Td.png,7d.png,Qc.png,7h.png,Jh.png,16.9
8d.png,6s.png,7h.png,Td.png,4c.png,27.9
9c.png,Jc.png,5s.png,7d.png,5c.png,11.17
3h.png,Qh.png,4s.png,Jh.png,4c.png,6.83
2d.png,5s.png,3c.png,5c.png,9h.png,16.2
5h.png,3c.png,7h.png,Ts.png,Tc.png,2.13
Js.png,Kd.png,8s.png,2d.png,Qd.png,15.4
Ah.png,2s.png,Ad.png,2d.png,5h.png,54.23
